[16:13:31.554] [INFO   ] thread main starting.
[16:13:31.560] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:13:31.562] [SEVERE ] configuration file was loaded from resources directory.
[16:13:33.012] [INFO   ] thread dealer starting.
[16:13:33.015] [INFO   ] Thread dealer starting.
[16:13:33.015] [INFO   ] Thread player 0 starting.
[16:13:33.016] [INFO   ] Thread player 3 starting.
[16:13:33.016] [INFO   ] Thread player 2 starting.
[16:13:33.015] [INFO   ] Thread player 1 starting.
[16:13:33.021] [INFO   ] Thread computer-2 starting.
[16:13:33.020] [INFO   ] Thread computer-3 starting.
[16:13:33.019] [INFO   ] Thread computer-0 starting.
[16:13:33.025] [INFO   ] Thread computer-1 starting.
[16:13:33.143] [SEVERE ] placing card 78 in slot 0
[16:13:33.143] [SEVERE ] player 3 placing token on slot 0
[16:13:33.151] [SEVERE ] player 2 placing token on slot 0
[16:13:33.154] [SEVERE ] player 1 placing token on slot 0
[16:13:33.155] [SEVERE ] removing player 1 token from slot 0
[16:13:33.155] [SEVERE ] removing player 2 token from slot 0
[16:13:33.155] [SEVERE ] removing player 3 token from slot 0
[16:13:33.155] [SEVERE ] player 4 placing token on slot 0
[16:13:33.157] [SEVERE ] removing player 4 token from slot 0
[16:13:33.159] [SEVERE ] player 2 placing token on slot 0
[16:13:33.161] [SEVERE ] player 4 placing token on slot 0
[16:13:33.161] [SEVERE ] removing player 4 token from slot 0
[16:13:33.161] [SEVERE ] player 1 placing token on slot 0
[16:13:33.164] [SEVERE ] player 3 placing token on slot 0
[16:13:33.164] [SEVERE ] removing player 1 token from slot 0
[16:13:33.165] [SEVERE ] player 4 placing token on slot 0
[16:13:33.165] [SEVERE ] removing player 2 token from slot 0
[16:13:33.165] [SEVERE ] removing player 3 token from slot 0
[16:13:33.165] [SEVERE ] player 1 placing token on slot 0
[16:13:33.165] [SEVERE ] removing player 4 token from slot 0
[16:13:33.167] [SEVERE ] player 3 placing token on slot 0
[16:13:33.167] [SEVERE ] removing player 1 token from slot 0
[16:13:33.171] [SEVERE ] player 2 placing token on slot 0
[16:13:33.171] [SEVERE ] removing player 3 token from slot 0
[16:13:33.176] [SEVERE ] player 4 placing token on slot 0
[16:13:33.176] [SEVERE ] removing player 2 token from slot 0
[16:13:33.176] [SEVERE ] player 1 placing token on slot 0
[16:13:33.176] [SEVERE ] removing player 4 token from slot 0
[16:13:33.178] [SEVERE ] removing player 1 token from slot 0
[16:13:33.178] [SEVERE ] player 3 placing token on slot 0
[16:13:33.179] [SEVERE ] removing player 3 token from slot 0
[16:13:33.179] [SEVERE ] player 2 placing token on slot 0
[16:13:33.180] [SEVERE ] removing player 2 token from slot 0
[16:13:33.180] [SEVERE ] player 1 placing token on slot 0
[16:13:33.181] [SEVERE ] removing player 1 token from slot 0
[16:13:33.181] [SEVERE ] player 4 placing token on slot 0
[16:13:33.182] [SEVERE ] removing player 4 token from slot 0
[16:13:33.183] [SEVERE ] player 2 placing token on slot 0
[16:13:33.186] [SEVERE ] removing player 2 token from slot 0
[16:13:33.186] [SEVERE ] player 3 placing token on slot 0
[16:13:33.186] [SEVERE ] removing player 3 token from slot 0
[16:13:33.186] [SEVERE ] player 4 placing token on slot 0
[16:13:33.187] [SEVERE ] removing player 4 token from slot 0
[16:13:33.187] [SEVERE ] player 2 placing token on slot 0
[16:13:33.187] [SEVERE ] removing player 2 token from slot 0
[16:13:33.187] [SEVERE ] player 1 placing token on slot 0
[16:13:33.187] [SEVERE ] removing player 1 token from slot 0
[16:13:33.187] [SEVERE ] player 4 placing token on slot 0
[16:13:33.188] [SEVERE ] removing player 4 token from slot 0
[16:13:33.188] [SEVERE ] player 3 placing token on slot 0
[16:13:33.188] [SEVERE ] removing player 3 token from slot 0
[16:13:33.188] [SEVERE ] player 1 placing token on slot 0
[16:13:33.189] [SEVERE ] removing player 1 token from slot 0
[16:13:33.189] [SEVERE ] player 2 placing token on slot 0
[16:13:33.190] [SEVERE ] removing player 2 token from slot 0
