[16:04:02.234] [INFO   ] thread main starting.
[16:04:02.243] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:04:02.246] [SEVERE ] configuration file was loaded from resources directory.
[16:04:10.134] [INFO   ] thread dealer starting.
[16:04:10.137] [INFO   ] Thread dealer starting.
[16:04:10.138] [INFO   ] Thread player 0 starting.
[16:04:10.138] [SEVERE ] updating countdown to 60000
[16:04:10.138] [INFO   ] Thread player 3 starting.
[16:04:10.138] [INFO   ] Thread player 2 starting.
[16:04:10.138] [INFO   ] Thread player 1 starting.
[16:04:10.144] [INFO   ] Thread computer-2 starting.
[16:04:10.141] [INFO   ] Thread computer-3 starting.
[16:04:10.140] [INFO   ] Thread computer-0 starting.
[16:04:10.148] [INFO   ] Thread computer-1 starting.
[16:04:10.302] [SEVERE ] placing card 38 in slot 0
[16:04:10.302] [SEVERE ] player 2 placing token on slot 0
[16:04:10.313] [SEVERE ] player 4 placing token on slot 0
[16:04:10.314] [SEVERE ] removing player 4 token from slot 0
[16:04:10.315] [SEVERE ] player 4 placing token on slot 0
[16:04:10.315] [SEVERE ] removing player 4 token from slot 0
[16:04:10.315] [SEVERE ] player 3 placing token on slot 0
[16:04:10.317] [SEVERE ] player 4 placing token on slot 0
[16:04:10.318] [SEVERE ] removing player 4 token from slot 0
[16:04:10.318] [SEVERE ] removing player 2 token from slot 0
[16:04:10.318] [SEVERE ] player 1 placing token on slot 0
[16:04:10.319] [SEVERE ] removing player 1 token from slot 0
[16:04:10.319] [SEVERE ] player 2 placing token on slot 0
[16:04:10.319] [SEVERE ] removing player 3 token from slot 0
[16:04:10.322] [SEVERE ] player 4 placing token on slot 0
[16:04:10.322] [SEVERE ] removing player 2 token from slot 0
[16:04:10.322] [SEVERE ] player 1 placing token on slot 0
[16:04:10.322] [SEVERE ] removing player 4 token from slot 0
[16:04:10.323] [SEVERE ] player 3 placing token on slot 0
[16:04:10.323] [SEVERE ] removing player 1 token from slot 0
[16:04:10.324] [SEVERE ] player 4 placing token on slot 0
[16:04:10.324] [SEVERE ] removing player 3 token from slot 0
[16:04:10.327] [SEVERE ] player 1 placing token on slot 0
[16:04:10.331] [SEVERE ] player 2 placing token on slot 0
[16:04:10.331] [SEVERE ] player 3 placing token on slot 0
[16:04:10.332] [SEVERE ] removing player 4 token from slot 0
[16:04:10.332] [SEVERE ] removing player 2 token from slot 0
[16:04:10.333] [SEVERE ] player 4 placing token on slot 0
[16:04:10.333] [SEVERE ] removing player 1 token from slot 0
[16:04:10.333] [SEVERE ] removing player 4 token from slot 0
[16:04:10.332] [SEVERE ] removing player 3 token from slot 0
[16:04:10.333] [SEVERE ] player 1 placing token on slot 0
[16:04:10.334] [SEVERE ] removing player 1 token from slot 0
[16:04:10.334] [SEVERE ] player 2 placing token on slot 0
[16:04:10.335] [SEVERE ] player 1 placing token on slot 0
[16:04:10.336] [SEVERE ] removing player 1 token from slot 0
[16:04:10.336] [SEVERE ] player 3 placing token on slot 0
[16:04:10.336] [SEVERE ] removing player 3 token from slot 0
[16:04:10.336] [SEVERE ] removing player 2 token from slot 0
[16:04:10.336] [SEVERE ] player 4 placing token on slot 0
[16:04:10.337] [SEVERE ] removing player 4 token from slot 0
[16:04:10.337] [SEVERE ] player 2 placing token on slot 0
[16:04:10.338] [SEVERE ] removing player 2 token from slot 0
[16:04:10.338] [SEVERE ] player 3 placing token on slot 0
[16:04:10.338] [SEVERE ] removing player 3 token from slot 0
[16:04:10.338] [SEVERE ] player 1 placing token on slot 0
[16:04:10.339] [SEVERE ] removing player 1 token from slot 0
[16:04:10.339] [SEVERE ] player 2 placing token on slot 0
[16:04:10.339] [SEVERE ] removing player 2 token from slot 0
[16:04:10.339] [SEVERE ] player 4 placing token on slot 0
[16:04:10.339] [SEVERE ] removing player 4 token from slot 0
[16:04:10.339] [SEVERE ] player 3 placing token on slot 0
[16:04:10.340] [SEVERE ] removing player 3 token from slot 0
[16:04:10.340] [SEVERE ] player 2 placing token on slot 0
[16:04:10.340] [SEVERE ] removing player 2 token from slot 0
[16:04:10.340] [SEVERE ] player 3 placing token on slot 0
[16:04:10.341] [SEVERE ] player 1 placing token on slot 0
[16:04:10.341] [SEVERE ] removing player 1 token from slot 0
[16:04:10.341] [SEVERE ] player 4 placing token on slot 0
[16:04:10.341] [SEVERE ] removing player 4 token from slot 0
[16:04:10.341] [SEVERE ] player 2 placing token on slot 0
[16:04:10.342] [SEVERE ] removing player 2 token from slot 0
[16:04:10.342] [SEVERE ] player 4 placing token on slot 0
