[16:12:23.831] [INFO   ] thread main starting.
[16:12:23.841] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:12:23.843] [SEVERE ] configuration file was loaded from resources directory.
[16:12:25.306] [INFO   ] thread dealer starting.
[16:12:25.309] [INFO   ] Thread dealer starting.
[16:12:25.309] [INFO   ] Thread player 0 starting.
[16:12:25.310] [INFO   ] Thread player 1 starting.
[16:12:25.314] [INFO   ] Thread player 2 starting.
[16:12:25.315] [INFO   ] Thread computer-1 starting.
[16:12:25.312] [INFO   ] Thread computer-0 starting.
[16:12:25.311] [INFO   ] Thread player 3 starting.
[16:12:25.311] [SEVERE ] updating countdown to 9223370364186030496
[16:12:25.324] [INFO   ] Thread computer-3 starting.
[16:12:25.316] [INFO   ] Thread computer-2 starting.
[16:12:25.527] [SEVERE ] placing card 54 in slot 0
[16:12:25.527] [SEVERE ] player 3 placing token on slot 0
[16:12:25.532] [SEVERE ] player 2 placing token on slot 0
[16:12:25.532] [SEVERE ] player 1 placing token on slot 0
[16:12:25.532] [SEVERE ] removing player 2 token from slot 0
[16:12:25.533] [SEVERE ] player 4 placing token on slot 0
[16:12:25.532] [SEVERE ] removing player 3 token from slot 0
[16:12:25.532] [SEVERE ] removing player 1 token from slot 0
[16:12:25.534] [SEVERE ] removing player 4 token from slot 0
[16:12:25.534] [SEVERE ] player 3 placing token on slot 0
[16:12:25.538] [SEVERE ] removing player 3 token from slot 0
[16:12:25.538] [SEVERE ] player 4 placing token on slot 0
[16:12:25.540] [SEVERE ] removing player 4 token from slot 0
[16:12:25.540] [SEVERE ] player 1 placing token on slot 0
[16:12:25.541] [SEVERE ] removing player 1 token from slot 0
[16:12:25.541] [SEVERE ] player 2 placing token on slot 0
[16:12:25.542] [SEVERE ] player 3 placing token on slot 0
[16:12:25.544] [SEVERE ] removing player 2 token from slot 0
[16:12:25.544] [SEVERE ] player 1 placing token on slot 0
[16:12:25.544] [SEVERE ] removing player 3 token from slot 0
[16:12:25.549] [SEVERE ] removing player 1 token from slot 0
[16:12:25.549] [SEVERE ] player 2 placing token on slot 0
[16:12:25.551] [SEVERE ] removing player 2 token from slot 0
[16:12:25.551] [SEVERE ] player 1 placing token on slot 0
[16:12:25.553] [SEVERE ] removing player 1 token from slot 0
[16:12:25.553] [SEVERE ] player 3 placing token on slot 0
[16:12:25.555] [SEVERE ] removing player 3 token from slot 0
[16:12:25.555] [SEVERE ] player 2 placing token on slot 0
[16:12:25.555] [SEVERE ] removing player 2 token from slot 0
[16:12:25.555] [SEVERE ] player 4 placing token on slot 0
[16:12:25.556] [SEVERE ] removing player 4 token from slot 0
[16:12:25.556] [SEVERE ] player 3 placing token on slot 0
[16:12:25.556] [SEVERE ] removing player 3 token from slot 0
[16:12:25.556] [SEVERE ] player 1 placing token on slot 0
[16:12:25.557] [SEVERE ] removing player 1 token from slot 0
[16:12:25.557] [SEVERE ] player 3 placing token on slot 0
[16:12:25.557] [SEVERE ] removing player 3 token from slot 0
[16:12:25.557] [SEVERE ] player 4 placing token on slot 0
[16:12:25.558] [SEVERE ] removing player 4 token from slot 0
[16:12:25.558] [SEVERE ] player 2 placing token on slot 0
[16:12:25.560] [SEVERE ] player 3 placing token on slot 0
[16:12:25.560] [SEVERE ] removing player 2 token from slot 0
[16:12:25.560] [SEVERE ] player 4 placing token on slot 0
[16:12:25.560] [SEVERE ] removing player 3 token from slot 0
[16:12:25.561] [SEVERE ] player 2 placing token on slot 0
[16:12:25.561] [SEVERE ] removing player 4 token from slot 0
[16:12:25.561] [SEVERE ] player 1 placing token on slot 0
[16:12:25.561] [SEVERE ] removing player 2 token from slot 0
[16:12:25.562] [SEVERE ] player 3 placing token on slot 0
[16:12:25.562] [SEVERE ] removing player 1 token from slot 0
[16:12:25.562] [SEVERE ] player 2 placing token on slot 0
[16:12:25.562] [SEVERE ] removing player 2 token from slot 0
[16:12:25.562] [SEVERE ] removing player 3 token from slot 0
[16:12:25.563] [SEVERE ] player 1 placing token on slot 0
[16:12:25.563] [SEVERE ] removing player 1 token from slot 0
[16:12:25.563] [SEVERE ] player 4 placing token on slot 0
[16:12:25.566] [SEVERE ] removing player 4 token from slot 0
[16:12:25.566] [SEVERE ] player 3 placing token on slot 0
[16:12:25.566] [SEVERE ] removing player 3 token from slot 0
[16:12:25.566] [SEVERE ] player 2 placing token on slot 0
[16:12:25.567] [SEVERE ] removing player 2 token from slot 0
[16:12:25.567] [SEVERE ] player 4 placing token on slot 0
[16:12:25.567] [SEVERE ] removing player 4 token from slot 0
[16:12:25.567] [SEVERE ] player 1 placing token on slot 0
[16:12:25.568] [SEVERE ] removing player 1 token from slot 0
[16:12:25.568] [SEVERE ] player 2 placing token on slot 0
[16:12:25.569] [SEVERE ] removing player 2 token from slot 0
[16:12:25.569] [SEVERE ] player 3 placing token on slot 0
[16:12:25.572] [SEVERE ] removing player 3 token from slot 0
