[16:12:57.403] [INFO   ] thread main starting.
[16:12:57.411] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:12:57.413] [SEVERE ] configuration file was loaded from resources directory.
[16:12:59.973] [INFO   ] thread dealer starting.
[16:12:59.976] [INFO   ] Thread dealer starting.
[16:12:59.976] [INFO   ] Thread player 0 starting.
[16:12:59.978] [INFO   ] Thread player 3 starting.
[16:12:59.978] [INFO   ] Thread player 1 starting.
[16:12:59.977] [INFO   ] Thread player 2 starting.
[16:12:59.986] [INFO   ] Thread computer-1 starting.
[16:12:59.985] [INFO   ] Thread computer-3 starting.
[16:12:59.984] [INFO   ] Thread computer-0 starting.
[16:12:59.988] [INFO   ] Thread computer-2 starting.
[16:13:00.122] [SEVERE ] placing card 46 in slot 0
[16:13:00.123] [SEVERE ] player 4 placing token on slot 0
[16:13:00.131] [SEVERE ] player 3 placing token on slot 0
[16:13:00.132] [SEVERE ] player 2 placing token on slot 0
[16:13:00.133] [SEVERE ] player 1 placing token on slot 0
[16:13:00.133] [SEVERE ] removing player 2 token from slot 0
[16:13:00.134] [SEVERE ] removing player 1 token from slot 0
[16:13:00.136] [SEVERE ] player 2 placing token on slot 0
[16:13:00.134] [SEVERE ] removing player 4 token from slot 0
[16:13:00.134] [SEVERE ] removing player 3 token from slot 0
[16:13:00.138] [SEVERE ] player 1 placing token on slot 0
[16:13:00.138] [SEVERE ] removing player 2 token from slot 0
[16:13:00.139] [SEVERE ] player 3 placing token on slot 0
[16:13:00.139] [SEVERE ] removing player 1 token from slot 0
[16:13:00.140] [SEVERE ] player 4 placing token on slot 0
[16:13:00.140] [SEVERE ] removing player 3 token from slot 0
[16:13:00.141] [SEVERE ] player 1 placing token on slot 0
[16:13:00.144] [SEVERE ] player 2 placing token on slot 0
[16:13:00.145] [SEVERE ] player 3 placing token on slot 0
[16:13:00.145] [SEVERE ] removing player 2 token from slot 0
[16:13:00.145] [SEVERE ] removing player 3 token from slot 0
[16:13:00.146] [SEVERE ] player 2 placing token on slot 0
[16:13:00.146] [SEVERE ] removing player 2 token from slot 0
[16:13:00.146] [SEVERE ] player 3 placing token on slot 0
[16:13:00.151] [SEVERE ] removing player 3 token from slot 0
[16:13:00.151] [SEVERE ] removing player 4 token from slot 0
[16:13:00.151] [SEVERE ] player 2 placing token on slot 0
