[16:20:42.791] [INFO   ] thread main starting.
[16:20:42.798] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:20:42.800] [SEVERE ] configuration file was loaded from resources directory.
[16:20:44.313] [INFO   ] thread dealer starting.
[16:20:44.316] [INFO   ] Thread dealer starting.
[16:20:44.316] [INFO   ] Thread player 0 starting.
[16:20:44.316] [INFO   ] Thread player 3 starting.
[16:20:44.316] [INFO   ] Thread player 2 starting.
[16:20:44.316] [INFO   ] Thread player 1 starting.
[16:20:44.324] [INFO   ] Thread computer-2 starting.
[16:20:44.322] [INFO   ] Thread computer-3 starting.
[16:20:44.322] [INFO   ] Thread computer-0 starting.
[16:20:44.326] [INFO   ] Thread computer-1 starting.
[16:20:44.439] [SEVERE ] placing card 36 in slot 0
[16:20:44.439] [SEVERE ] player 3 placing token on slot 0
[16:20:44.446] [SEVERE ] removing player 3 token from slot 0
[16:20:44.446] [SEVERE ] player 4 placing token on slot 0
[16:20:44.448] [SEVERE ] removing player 4 token from slot 0
[16:20:44.448] [SEVERE ] player 2 placing token on slot 0
[16:20:44.449] [SEVERE ] removing player 2 token from slot 0
[16:20:44.449] [SEVERE ] player 4 placing token on slot 0
[16:20:44.451] [SEVERE ] removing player 4 token from slot 0
[16:20:44.451] [SEVERE ] player 3 placing token on slot 0
[16:20:44.452] [SEVERE ] player 4 placing token on slot 0
[16:20:44.452] [SEVERE ] removing player 4 token from slot 0
[16:20:44.452] [SEVERE ] player 2 placing token on slot 0
[16:20:44.452] [SEVERE ] removing player 2 token from slot 0
[16:20:44.452] [SEVERE ] player 1 placing token on slot 0
[16:20:44.454] [SEVERE ] player 4 placing token on slot 0
[16:20:44.454] [SEVERE ] removing player 4 token from slot 0
[16:20:44.454] [SEVERE ] player 2 placing token on slot 0
[16:20:44.454] [SEVERE ] removing player 2 token from slot 0
[16:20:44.454] [SEVERE ] player 4 placing token on slot 0
[16:20:44.454] [SEVERE ] removing player 3 token from slot 0
[16:20:44.454] [SEVERE ] removing player 1 token from slot 0
[16:20:44.458] [SEVERE ] player 3 placing token on slot 0
[16:20:44.458] [SEVERE ] removing player 4 token from slot 0
[16:20:44.462] [SEVERE ] player 1 placing token on slot 0
[16:20:44.461] [SEVERE ] removing player 3 token from slot 0
[16:20:44.463] [SEVERE ] player 4 placing token on slot 0
[16:20:44.463] [SEVERE ] removing player 1 token from slot 0
[16:20:44.464] [SEVERE ] player 3 placing token on slot 0
[16:20:44.466] [SEVERE ] player 2 placing token on slot 0
[16:20:44.467] [SEVERE ] removing player 2 token from slot 0
[16:20:44.467] [SEVERE ] player 1 placing token on slot 0
[16:20:44.467] [SEVERE ] removing player 3 token from slot 0
[16:20:44.467] [SEVERE ] removing player 4 token from slot 0
[16:20:44.469] [SEVERE ] player 2 placing token on slot 0
[16:20:44.469] [SEVERE ] removing player 1 token from slot 0
[16:20:44.470] [SEVERE ] player 4 placing token on slot 0
[16:20:44.470] [SEVERE ] removing player 2 token from slot 0
[16:20:44.471] [SEVERE ] removing player 4 token from slot 0
[16:20:44.471] [SEVERE ] player 3 placing token on slot 0
[16:20:44.472] [SEVERE ] removing player 3 token from slot 0
[16:20:44.472] [SEVERE ] player 2 placing token on slot 0
[16:20:44.473] [SEVERE ] removing player 2 token from slot 0
[16:20:44.473] [SEVERE ] player 1 placing token on slot 0
[16:20:44.473] [SEVERE ] removing player 1 token from slot 0
[16:20:44.473] [SEVERE ] player 2 placing token on slot 0
[16:20:44.473] [SEVERE ] removing player 2 token from slot 0
[16:20:44.473] [SEVERE ] player 3 placing token on slot 0
[16:20:44.474] [SEVERE ] removing player 3 token from slot 0
[16:20:44.474] [SEVERE ] player 4 placing token on slot 0
[16:20:44.474] [SEVERE ] removing player 4 token from slot 0
[16:20:44.474] [SEVERE ] player 2 placing token on slot 0
[16:20:44.475] [SEVERE ] removing player 2 token from slot 0
[16:20:44.475] [SEVERE ] player 1 placing token on slot 0
[16:20:44.475] [SEVERE ] removing player 1 token from slot 0
[16:20:44.475] [SEVERE ] player 4 placing token on slot 0
[16:20:44.476] [SEVERE ] removing player 4 token from slot 0
[16:20:44.476] [SEVERE ] player 3 placing token on slot 0
[16:20:44.476] [SEVERE ] removing player 3 token from slot 0
[16:20:44.476] [SEVERE ] player 1 placing token on slot 0
[16:20:44.477] [SEVERE ] removing player 1 token from slot 0
[16:20:44.477] [SEVERE ] player 2 placing token on slot 0
[16:20:44.477] [SEVERE ] removing player 2 token from slot 0
[16:20:44.477] [SEVERE ] player 3 placing token on slot 0
[16:20:44.477] [SEVERE ] removing player 3 token from slot 0
[16:20:44.477] [SEVERE ] player 4 placing token on slot 0
[16:20:44.478] [SEVERE ] removing player 4 token from slot 0
[16:20:44.478] [SEVERE ] player 2 placing token on slot 0
[16:20:44.478] [SEVERE ] removing player 2 token from slot 0
[16:20:44.478] [SEVERE ] player 1 placing token on slot 0
[16:20:44.479] [SEVERE ] removing player 1 token from slot 0
[16:20:44.479] [SEVERE ] player 4 placing token on slot 0
[16:20:44.489] [SEVERE ] removing player 4 token from slot 0
[16:20:44.489] [SEVERE ] player 3 placing token on slot 0
[16:20:44.495] [SEVERE ] removing player 3 token from slot 0
[16:20:44.495] [SEVERE ] player 1 placing token on slot 0
[16:20:44.506] [SEVERE ] removing player 1 token from slot 0
[16:20:44.506] [SEVERE ] player 2 placing token on slot 0
[16:20:44.507] [SEVERE ] removing player 2 token from slot 0
[16:20:44.507] [SEVERE ] player 3 placing token on slot 0
[16:20:44.511] [SEVERE ] player 4 placing token on slot 0
[16:20:44.511] [SEVERE ] removing player 4 token from slot 0
[16:20:44.511] [SEVERE ] player 2 placing token on slot 0
[16:20:44.513] [SEVERE ] removing player 2 token from slot 0
[16:20:44.513] [SEVERE ] player 1 placing token on slot 0
[16:20:44.517] [SEVERE ] removing player 1 token from slot 0
[16:20:44.517] [SEVERE ] player 4 placing token on slot 0
[16:20:44.517] [SEVERE ] removing player 4 token from slot 0
[16:20:44.517] [SEVERE ] player 1 placing token on slot 0
[16:20:44.518] [SEVERE ] removing player 1 token from slot 0
[16:20:44.518] [SEVERE ] player 2 placing token on slot 0
[16:20:44.519] [SEVERE ] removing player 2 token from slot 0
[16:20:44.519] [SEVERE ] player 4 placing token on slot 0
[16:20:44.519] [SEVERE ] removing player 3 token from slot 0
[16:20:44.526] [SEVERE ] player 1 placing token on slot 0
[16:20:44.526] [SEVERE ] removing player 4 token from slot 0
[16:20:44.529] [SEVERE ] player 3 placing token on slot 0
[16:20:44.529] [SEVERE ] removing player 1 token from slot 0
[16:20:44.529] [SEVERE ] player 2 placing token on slot 0
[16:20:44.529] [SEVERE ] removing player 3 token from slot 0
[16:20:44.533] [SEVERE ] player 4 placing token on slot 0
[16:20:44.533] [SEVERE ] removing player 2 token from slot 0
[16:20:44.541] [SEVERE ] player 1 placing token on slot 0
[16:20:44.541] [SEVERE ] removing player 4 token from slot 0
[16:20:44.542] [SEVERE ] removing player 1 token from slot 0
[16:20:44.542] [SEVERE ] player 3 placing token on slot 0
[16:20:44.542] [SEVERE ] removing player 3 token from slot 0
[16:20:44.542] [SEVERE ] player 2 placing token on slot 0
[16:20:44.544] [SEVERE ] removing player 2 token from slot 0
[16:20:44.544] [SEVERE ] player 1 placing token on slot 0
[16:20:44.545] [SEVERE ] removing player 1 token from slot 0
[16:20:44.545] [SEVERE ] player 4 placing token on slot 0
[16:20:44.550] [SEVERE ] removing player 4 token from slot 0
[16:20:44.550] [SEVERE ] player 2 placing token on slot 0
[16:20:44.550] [SEVERE ] removing player 2 token from slot 0
[16:20:44.550] [SEVERE ] player 4 placing token on slot 0
[16:20:44.550] [SEVERE ] removing player 4 token from slot 0
[16:20:44.550] [SEVERE ] player 1 placing token on slot 0
[16:20:44.551] [SEVERE ] removing player 1 token from slot 0
[16:20:44.551] [SEVERE ] player 4 placing token on slot 0
[16:20:44.551] [SEVERE ] removing player 4 token from slot 0
[16:20:44.551] [SEVERE ] placing card 60 in slot 1
[16:20:44.551] [SEVERE ] player 2 placing token on slot 0
[16:20:44.553] [SEVERE ] player 2 placing token on slot 1
[16:20:44.554] [SEVERE ] removing player 2 token from slot 0
[16:20:44.554] [SEVERE ] player 3 placing token on slot 1
[16:20:44.555] [SEVERE ] player 3 placing token on slot 0
[16:20:44.555] [SEVERE ] removing player 3 token from slot 0
[16:20:44.555] [SEVERE ] removing player 2 token from slot 1
[16:20:44.555] [SEVERE ] player 4 placing token on slot 1
[16:20:44.556] [SEVERE ] removing player 4 token from slot 1
[16:20:44.556] [SEVERE ] player 1 placing token on slot 1
[16:20:44.557] [SEVERE ] player 1 placing token on slot 0
[16:20:44.558] [SEVERE ] removing player 1 token from slot 0
[16:20:44.558] [SEVERE ] player 2 placing token on slot 1
[16:20:44.559] [SEVERE ] removing player 2 token from slot 1
[16:20:44.559] [SEVERE ] player 1 placing token on slot 0
[16:20:44.559] [SEVERE ] removing player 3 token from slot 1
[16:20:44.559] [SEVERE ] player 4 placing token on slot 0
[16:20:44.559] [SEVERE ] removing player 1 token from slot 1
[16:20:44.559] [SEVERE ] player 4 placing token on slot 1
[16:20:44.560] [SEVERE ] removing player 4 token from slot 0
[16:20:44.560] [SEVERE ] removing player 4 token from slot 1
[16:20:44.560] [SEVERE ] player 2 placing token on slot 1
[16:20:44.560] [SEVERE ] player 3 placing token on slot 1
[16:20:44.561] [SEVERE ] removing player 3 token from slot 1
[16:20:44.561] [SEVERE ] player 2 placing token on slot 0
[16:20:44.561] [SEVERE ] removing player 1 token from slot 0
[16:20:44.561] [SEVERE ] player 4 placing token on slot 0
[16:20:44.561] [SEVERE ] removing player 2 token from slot 0
[16:20:44.561] [SEVERE ] player 3 placing token on slot 1
[16:20:44.561] [SEVERE ] removing player 4 token from slot 0
[16:20:44.562] [SEVERE ] player 3 placing token on slot 0
[16:20:44.563] [SEVERE ] removing player 3 token from slot 1
[16:20:44.563] [SEVERE ] player 1 placing token on slot 1
[16:20:44.563] [SEVERE ] removing player 1 token from slot 1
[16:20:44.563] [SEVERE ] player 4 placing token on slot 1
[16:20:44.566] [SEVERE ] removing player 4 token from slot 1
[16:20:44.566] [SEVERE ] player 3 placing token on slot 1
[16:20:44.566] [SEVERE ] removing player 2 token from slot 1
[16:20:44.569] [SEVERE ] player 1 placing token on slot 0
[16:20:44.569] [SEVERE ] removing player 3 token from slot 1
[16:20:44.569] [SEVERE ] player 1 placing token on slot 1
[16:20:44.569] [SEVERE ] removing player 1 token from slot 1
[16:20:44.569] [SEVERE ] player 2 placing token on slot 0
[16:20:44.570] [SEVERE ] removing player 1 token from slot 0
[16:20:44.570] [SEVERE ] player 4 placing token on slot 0
