[16:15:31.914] [INFO   ] thread main starting.
[16:15:31.921] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:15:31.923] [SEVERE ] configuration file was loaded from resources directory.
[16:15:34.392] [INFO   ] thread dealer starting.
[16:15:34.396] [INFO   ] Thread dealer starting.
[16:15:34.396] [INFO   ] Thread player 0 starting.
[16:15:34.396] [INFO   ] Thread player 3 starting.
[16:15:34.396] [INFO   ] Thread player 2 starting.
[16:15:34.396] [INFO   ] Thread player 1 starting.
[16:15:34.403] [INFO   ] Thread computer-0 starting.
[16:15:34.403] [INFO   ] Thread computer-2 starting.
[16:15:34.402] [INFO   ] Thread computer-3 starting.
[16:15:34.407] [INFO   ] Thread computer-1 starting.
[16:15:34.550] [SEVERE ] placing card 10 in slot 0
[16:15:34.551] [SEVERE ] player 1 placing token on slot 0
[16:15:34.557] [SEVERE ] player 4 placing token on slot 0
[16:15:34.559] [SEVERE ] removing player 4 token from slot 0
[16:15:34.559] [SEVERE ] player 2 placing token on slot 0
[16:15:34.560] [SEVERE ] removing player 2 token from slot 0
[16:15:34.560] [SEVERE ] player 4 placing token on slot 0
[16:15:34.561] [SEVERE ] removing player 4 token from slot 0
[16:15:34.561] [SEVERE ] player 2 placing token on slot 0
[16:15:34.561] [SEVERE ] removing player 1 token from slot 0
[16:15:34.562] [SEVERE ] player 3 placing token on slot 0
[16:15:34.564] [SEVERE ] player 4 placing token on slot 0
[16:15:34.565] [SEVERE ] player 1 placing token on slot 0
[16:15:34.567] [SEVERE ] removing player 1 token from slot 0
[16:15:34.567] [SEVERE ] removing player 3 token from slot 0
[16:15:34.567] [SEVERE ] removing player 4 token from slot 0
[16:15:34.567] [SEVERE ] removing player 2 token from slot 0
[16:15:34.568] [SEVERE ] player 1 placing token on slot 0
[16:15:34.569] [SEVERE ] player 2 placing token on slot 0
[16:15:34.570] [SEVERE ] removing player 1 token from slot 0
[16:15:34.571] [SEVERE ] player 4 placing token on slot 0
[16:15:34.575] [SEVERE ] player 1 placing token on slot 0
[16:15:34.575] [SEVERE ] removing player 4 token from slot 0
[16:15:34.575] [SEVERE ] player 3 placing token on slot 0
[16:15:34.575] [SEVERE ] removing player 2 token from slot 0
[16:15:34.575] [SEVERE ] removing player 1 token from slot 0
[16:15:34.576] [SEVERE ] player 4 placing token on slot 0
[16:15:34.576] [SEVERE ] removing player 3 token from slot 0
[16:15:34.590] [SEVERE ] removing player 4 token from slot 0
[16:15:34.591] [SEVERE ] player 1 placing token on slot 0
[16:15:34.591] [SEVERE ] removing player 1 token from slot 0
[16:15:34.591] [SEVERE ] player 4 placing token on slot 0
[16:15:34.592] [SEVERE ] removing player 4 token from slot 0
[16:15:34.592] [SEVERE ] player 3 placing token on slot 0
[16:15:34.593] [SEVERE ] removing player 3 token from slot 0
[16:15:34.593] [SEVERE ] player 1 placing token on slot 0
[16:15:34.595] [SEVERE ] removing player 1 token from slot 0
[16:15:34.595] [SEVERE ] player 2 placing token on slot 0
[16:15:34.597] [SEVERE ] removing player 2 token from slot 0
[16:15:34.597] [SEVERE ] player 3 placing token on slot 0
[16:15:34.597] [SEVERE ] removing player 3 token from slot 0
[16:15:34.597] [SEVERE ] player 4 placing token on slot 0
[16:15:34.598] [SEVERE ] removing player 4 token from slot 0
[16:15:34.598] [SEVERE ] player 2 placing token on slot 0
[16:15:34.598] [SEVERE ] removing player 2 token from slot 0
[16:15:34.598] [SEVERE ] player 1 placing token on slot 0
[16:15:34.598] [SEVERE ] removing player 1 token from slot 0
[16:15:34.598] [SEVERE ] player 3 placing token on slot 0
[16:15:34.598] [SEVERE ] removing player 3 token from slot 0
[16:15:34.599] [SEVERE ] player 2 placing token on slot 0
[16:15:34.599] [SEVERE ] removing player 2 token from slot 0
[16:15:34.599] [SEVERE ] player 3 placing token on slot 0
[16:15:34.599] [SEVERE ] removing player 3 token from slot 0
[16:15:34.599] [SEVERE ] player 1 placing token on slot 0
[16:15:34.600] [SEVERE ] removing player 1 token from slot 0
[16:15:34.600] [SEVERE ] player 2 placing token on slot 0
[16:15:34.600] [SEVERE ] removing player 2 token from slot 0
[16:15:34.600] [SEVERE ] player 4 placing token on slot 0
[16:15:34.601] [SEVERE ] removing player 4 token from slot 0
[16:15:34.601] [SEVERE ] player 1 placing token on slot 0
[16:15:34.601] [SEVERE ] removing player 1 token from slot 0
[16:15:34.601] [SEVERE ] player 3 placing token on slot 0
[16:15:34.601] [SEVERE ] removing player 3 token from slot 0
[16:15:34.601] [SEVERE ] player 4 placing token on slot 0
[16:15:34.602] [SEVERE ] removing player 4 token from slot 0
[16:15:34.602] [SEVERE ] player 2 placing token on slot 0
[16:15:34.602] [SEVERE ] removing player 2 token from slot 0
[16:15:34.602] [SEVERE ] player 3 placing token on slot 0
[16:15:34.603] [SEVERE ] player 1 placing token on slot 0
[16:15:34.603] [SEVERE ] removing player 1 token from slot 0
[16:15:34.603] [SEVERE ] player 2 placing token on slot 0
