[16:10:55.310] [INFO   ] thread main starting.
[16:10:55.320] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:10:55.322] [SEVERE ] configuration file was loaded from resources directory.
[16:10:56.962] [INFO   ] thread dealer starting.
[16:10:56.966] [INFO   ] Thread dealer starting.
[16:10:56.967] [INFO   ] Thread player 2 starting.
[16:10:56.968] [INFO   ] Thread player 0 starting.
[16:10:56.967] [INFO   ] Thread player 3 starting.
[16:10:56.967] [INFO   ] Thread player 1 starting.
[16:10:56.974] [INFO   ] Thread computer-3 starting.
[16:10:56.973] [INFO   ] Thread computer-0 starting.
[16:10:56.971] [INFO   ] Thread computer-2 starting.
[16:10:56.974] [INFO   ] Thread computer-1 starting.
[16:10:59.674] [SEVERE ] updating countdown to 60000
[16:10:59.810] [SEVERE ] placing card 24 in slot 0
[16:10:59.810] [SEVERE ] player 2 placing token on slot 0
[16:10:59.813] [SEVERE ] player 3 placing token on slot 0
[16:10:59.816] [SEVERE ] player 4 placing token on slot 0
[16:10:59.817] [SEVERE ] removing player 3 token from slot 0
[16:10:59.819] [SEVERE ] removing player 4 token from slot 0
[16:10:59.819] [SEVERE ] player 3 placing token on slot 0
[16:10:59.821] [SEVERE ] player 4 placing token on slot 0
[16:10:59.822] [SEVERE ] removing player 4 token from slot 0
[16:10:59.822] [SEVERE ] player 1 placing token on slot 0
[16:10:59.822] [SEVERE ] removing player 2 token from slot 0
[16:10:59.822] [SEVERE ] player 4 placing token on slot 0
[16:10:59.822] [SEVERE ] removing player 1 token from slot 0
[16:10:59.823] [SEVERE ] player 2 placing token on slot 0
[16:10:59.822] [SEVERE ] removing player 4 token from slot 0
[16:10:59.826] [SEVERE ] player 1 placing token on slot 0
[16:10:59.826] [SEVERE ] removing player 3 token from slot 0
[16:10:59.827] [SEVERE ] removing player 1 token from slot 0
[16:10:59.827] [SEVERE ] player 4 placing token on slot 0
[16:10:59.828] [SEVERE ] removing player 4 token from slot 0
[16:10:59.828] [SEVERE ] removing player 2 token from slot 0
[16:10:59.828] [SEVERE ] player 1 placing token on slot 0
[16:10:59.828] [SEVERE ] removing player 1 token from slot 0
[16:10:59.828] [SEVERE ] player 3 placing token on slot 0
[16:10:59.833] [SEVERE ] removing player 3 token from slot 0
[16:10:59.833] [SEVERE ] player 1 placing token on slot 0
[16:10:59.833] [SEVERE ] removing player 1 token from slot 0
[16:10:59.833] [SEVERE ] player 2 placing token on slot 0
[16:10:59.834] [SEVERE ] removing player 2 token from slot 0
[16:10:59.834] [SEVERE ] player 4 placing token on slot 0
[16:10:59.835] [SEVERE ] removing player 4 token from slot 0
[16:10:59.835] [SEVERE ] player 3 placing token on slot 0
[16:10:59.836] [SEVERE ] removing player 3 token from slot 0
[16:10:59.836] [SEVERE ] player 2 placing token on slot 0
[16:10:59.838] [SEVERE ] removing player 2 token from slot 0
[16:10:59.838] [SEVERE ] player 4 placing token on slot 0
[16:10:59.839] [SEVERE ] removing player 4 token from slot 0
[16:10:59.839] [SEVERE ] player 1 placing token on slot 0
[16:10:59.839] [SEVERE ] removing player 1 token from slot 0
[16:10:59.839] [SEVERE ] player 2 placing token on slot 0
[16:10:59.841] [SEVERE ] removing player 2 token from slot 0
[16:10:59.841] [SEVERE ] player 3 placing token on slot 0
[16:10:59.843] [SEVERE ] removing player 3 token from slot 0
[16:10:59.843] [SEVERE ] player 2 placing token on slot 0
[16:10:59.844] [SEVERE ] removing player 2 token from slot 0
[16:10:59.844] [SEVERE ] player 1 placing token on slot 0
[16:10:59.849] [SEVERE ] removing player 1 token from slot 0
[16:10:59.849] [SEVERE ] player 4 placing token on slot 0
[16:10:59.855] [SEVERE ] removing player 4 token from slot 0
[16:10:59.855] [SEVERE ] player 2 placing token on slot 0
[16:10:59.855] [SEVERE ] removing player 2 token from slot 0
[16:10:59.855] [SEVERE ] player 3 placing token on slot 0
[16:10:59.856] [SEVERE ] removing player 3 token from slot 0
[16:10:59.856] [SEVERE ] player 4 placing token on slot 0
[16:10:59.858] [SEVERE ] player 1 placing token on slot 0
[16:10:59.859] [SEVERE ] removing player 1 token from slot 0
[16:10:59.859] [SEVERE ] player 3 placing token on slot 0
[16:10:59.859] [SEVERE ] removing player 4 token from slot 0
[16:10:59.860] [SEVERE ] player 2 placing token on slot 0
[16:10:59.860] [SEVERE ] removing player 3 token from slot 0
[16:10:59.860] [SEVERE ] removing player 2 token from slot 0
[16:10:59.860] [SEVERE ] player 3 placing token on slot 0
[16:10:59.861] [SEVERE ] removing player 3 token from slot 0
[16:10:59.861] [SEVERE ] player 4 placing token on slot 0
[16:10:59.861] [SEVERE ] removing player 4 token from slot 0
[16:10:59.861] [SEVERE ] player 2 placing token on slot 0
[16:10:59.863] [SEVERE ] removing player 2 token from slot 0
[16:10:59.863] [SEVERE ] player 1 placing token on slot 0
[16:10:59.864] [SEVERE ] removing player 1 token from slot 0
[16:10:59.864] [SEVERE ] player 4 placing token on slot 0
[16:10:59.866] [SEVERE ] removing player 4 token from slot 0
