[16:07:05.797] [INFO   ] thread main starting.
[16:07:05.807] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:07:05.809] [SEVERE ] configuration file was loaded from resources directory.
[16:07:07.323] [INFO   ] thread dealer starting.
[16:07:07.326] [INFO   ] Thread dealer starting.
[16:07:07.326] [INFO   ] Thread player 0 starting.
[16:07:07.327] [SEVERE ] updating countdown to 60000
[16:07:07.327] [INFO   ] Thread player 2 starting.
[16:07:07.327] [INFO   ] Thread player 3 starting.
[16:07:07.326] [INFO   ] Thread player 1 starting.
[16:07:07.339] [INFO   ] Thread computer-2 starting.
[16:07:07.336] [INFO   ] Thread computer-0 starting.
[16:07:07.345] [INFO   ] Thread computer-1 starting.
[16:07:07.344] [INFO   ] Thread computer-3 starting.
[16:07:07.504] [SEVERE ] placing card 33 in slot 0
[16:07:07.505] [SEVERE ] player 1 placing token on slot 0
[16:07:07.510] [SEVERE ] player 2 placing token on slot 0
[16:07:07.510] [SEVERE ] removing player 1 token from slot 0
[16:07:07.510] [SEVERE ] player 4 placing token on slot 0
[16:07:07.510] [SEVERE ] removing player 2 token from slot 0
[16:07:07.511] [SEVERE ] removing player 4 token from slot 0
[16:07:07.511] [SEVERE ] player 3 placing token on slot 0
[16:07:07.511] [SEVERE ] removing player 3 token from slot 0
[16:07:07.511] [SEVERE ] player 4 placing token on slot 0
[16:07:07.513] [SEVERE ] removing player 4 token from slot 0
[16:07:07.514] [SEVERE ] player 2 placing token on slot 0
[16:07:07.517] [SEVERE ] removing player 2 token from slot 0
[16:07:07.517] [SEVERE ] player 4 placing token on slot 0
[16:07:07.517] [SEVERE ] removing player 4 token from slot 0
[16:07:07.517] [SEVERE ] player 3 placing token on slot 0
[16:07:07.518] [SEVERE ] removing player 3 token from slot 0
[16:07:07.518] [SEVERE ] player 1 placing token on slot 0
[16:07:07.520] [SEVERE ] removing player 1 token from slot 0
[16:07:07.520] [SEVERE ] player 4 placing token on slot 0
[16:07:07.521] [SEVERE ] removing player 4 token from slot 0
[16:07:07.521] [SEVERE ] player 2 placing token on slot 0
[16:07:07.522] [SEVERE ] player 1 placing token on slot 0
[16:07:07.522] [SEVERE ] removing player 1 token from slot 0
[16:07:07.522] [SEVERE ] player 3 placing token on slot 0
[16:07:07.522] [SEVERE ] removing player 3 token from slot 0
[16:07:07.522] [SEVERE ] player 1 placing token on slot 0
[16:07:07.522] [SEVERE ] removing player 2 token from slot 0
[16:07:07.527] [SEVERE ] removing player 1 token from slot 0
[16:07:07.527] [SEVERE ] player 3 placing token on slot 0
[16:07:07.529] [SEVERE ] removing player 3 token from slot 0
[16:07:07.529] [SEVERE ] player 4 placing token on slot 0
[16:07:07.529] [SEVERE ] removing player 4 token from slot 0
[16:07:07.529] [SEVERE ] player 1 placing token on slot 0
[16:07:07.532] [SEVERE ] removing player 1 token from slot 0
[16:07:07.532] [SEVERE ] player 2 placing token on slot 0
[16:07:07.535] [SEVERE ] removing player 2 token from slot 0
[16:07:07.535] [SEVERE ] player 4 placing token on slot 0
[16:07:07.536] [SEVERE ] player 3 placing token on slot 0
[16:07:07.536] [SEVERE ] removing player 3 token from slot 0
[16:07:07.537] [SEVERE ] player 1 placing token on slot 0
[16:07:07.537] [SEVERE ] removing player 1 token from slot 0
[16:07:07.537] [SEVERE ] player 2 placing token on slot 0
[16:07:07.537] [SEVERE ] removing player 2 token from slot 0
[16:07:07.538] [SEVERE ] player 1 placing token on slot 0
[16:07:07.538] [SEVERE ] removing player 4 token from slot 0
[16:07:07.538] [SEVERE ] player 3 placing token on slot 0
[16:07:07.538] [SEVERE ] removing player 1 token from slot 0
[16:07:07.539] [SEVERE ] player 2 placing token on slot 0
[16:07:07.539] [SEVERE ] removing player 3 token from slot 0
[16:07:07.539] [SEVERE ] player 4 placing token on slot 0
[16:07:07.539] [SEVERE ] removing player 2 token from slot 0
[16:07:07.540] [SEVERE ] player 1 placing token on slot 0
[16:07:07.540] [SEVERE ] removing player 4 token from slot 0
[16:07:07.540] [SEVERE ] player 3 placing token on slot 0
[16:07:07.541] [SEVERE ] removing player 3 token from slot 0
[16:07:07.541] [SEVERE ] player 2 placing token on slot 0
[16:07:07.541] [SEVERE ] removing player 1 token from slot 0
[16:07:07.541] [SEVERE ] player 4 placing token on slot 0
[16:07:07.541] [SEVERE ] removing player 2 token from slot 0
[16:07:07.541] [SEVERE ] player 3 placing token on slot 0
[16:07:07.541] [SEVERE ] removing player 4 token from slot 0
[16:07:07.542] [SEVERE ] player 1 placing token on slot 0
[16:07:07.541] [SEVERE ] removing player 3 token from slot 0
[16:07:07.542] [SEVERE ] player 2 placing token on slot 0
[16:07:07.542] [SEVERE ] removing player 1 token from slot 0
[16:07:07.542] [SEVERE ] player 3 placing token on slot 0
[16:07:07.542] [SEVERE ] removing player 2 token from slot 0
[16:07:07.543] [SEVERE ] player 4 placing token on slot 0
[16:07:07.543] [SEVERE ] removing player 3 token from slot 0
[16:07:07.544] [SEVERE ] player 1 placing token on slot 0
[16:07:07.544] [SEVERE ] removing player 4 token from slot 0
[16:07:07.555] [SEVERE ] player 2 placing token on slot 0
[16:07:07.555] [SEVERE ] removing player 1 token from slot 0
[16:07:07.556] [SEVERE ] player 3 placing token on slot 0
[16:07:07.556] [SEVERE ] removing player 2 token from slot 0
[16:07:07.568] [SEVERE ] player 1 placing token on slot 0
[16:07:07.568] [SEVERE ] removing player 3 token from slot 0
[16:07:07.571] [SEVERE ] player 4 placing token on slot 0
[16:07:07.571] [SEVERE ] removing player 1 token from slot 0
[16:07:07.572] [SEVERE ] removing player 4 token from slot 0
[16:07:07.572] [SEVERE ] player 2 placing token on slot 0
[16:07:07.573] [SEVERE ] removing player 2 token from slot 0
[16:07:07.574] [SEVERE ] player 3 placing token on slot 0
[16:07:07.574] [SEVERE ] removing player 3 token from slot 0
[16:07:07.574] [SEVERE ] player 2 placing token on slot 0
[16:07:07.574] [SEVERE ] removing player 2 token from slot 0
[16:07:07.574] [SEVERE ] player 4 placing token on slot 0
[16:07:07.577] [SEVERE ] removing player 4 token from slot 0
[16:07:07.577] [SEVERE ] player 1 placing token on slot 0
[16:07:07.585] [SEVERE ] removing player 1 token from slot 0
[16:07:07.585] [SEVERE ] player 2 placing token on slot 0
[16:07:07.587] [SEVERE ] removing player 2 token from slot 0
[16:07:07.587] [SEVERE ] player 3 placing token on slot 0
[16:07:07.587] [SEVERE ] removing player 3 token from slot 0
[16:07:07.587] [SEVERE ] player 1 placing token on slot 0
[16:07:07.588] [SEVERE ] removing player 1 token from slot 0
[16:07:07.588] [SEVERE ] player 4 placing token on slot 0
[16:07:07.594] [SEVERE ] removing player 4 token from slot 0
[16:07:07.594] [SEVERE ] player 3 placing token on slot 0
[16:07:07.599] [SEVERE ] removing player 3 token from slot 0
[16:07:07.599] [SEVERE ] player 2 placing token on slot 0
[16:07:07.599] [SEVERE ] removing player 2 token from slot 0
[16:07:07.599] [SEVERE ] player 4 placing token on slot 0
[16:07:07.600] [SEVERE ] removing player 4 token from slot 0
[16:07:07.600] [SEVERE ] player 1 placing token on slot 0
[16:07:07.600] [SEVERE ] removing player 1 token from slot 0
[16:07:07.600] [SEVERE ] player 2 placing token on slot 0
[16:07:07.600] [SEVERE ] removing player 2 token from slot 0
[16:07:07.600] [SEVERE ] player 3 placing token on slot 0
[16:07:07.601] [SEVERE ] removing player 3 token from slot 0
[16:07:07.601] [SEVERE ] player 1 placing token on slot 0
[16:07:07.601] [SEVERE ] removing player 1 token from slot 0
[16:07:07.601] [SEVERE ] player 4 placing token on slot 0
[16:07:07.601] [SEVERE ] removing player 4 token from slot 0
[16:07:07.601] [SEVERE ] player 3 placing token on slot 0
[16:07:07.601] [SEVERE ] removing player 3 token from slot 0
[16:07:07.601] [SEVERE ] player 2 placing token on slot 0
[16:07:07.602] [SEVERE ] removing player 2 token from slot 0
[16:07:07.602] [SEVERE ] player 4 placing token on slot 0
[16:07:07.602] [SEVERE ] removing player 4 token from slot 0
[16:07:07.602] [SEVERE ] player 1 placing token on slot 0
[16:07:07.603] [SEVERE ] removing player 1 token from slot 0
[16:07:07.603] [SEVERE ] player 2 placing token on slot 0
[16:07:07.609] [SEVERE ] player 3 placing token on slot 0
[16:07:07.608] [SEVERE ] removing player 2 token from slot 0
[16:07:07.610] [SEVERE ] player 1 placing token on slot 0
[16:07:07.610] [SEVERE ] removing player 3 token from slot 0
[16:07:07.610] [SEVERE ] player 2 placing token on slot 0
[16:07:07.610] [SEVERE ] removing player 1 token from slot 0
[16:07:07.610] [SEVERE ] player 4 placing token on slot 0
[16:07:07.610] [SEVERE ] removing player 2 token from slot 0
[16:07:07.612] [SEVERE ] player 1 placing token on slot 0
[16:07:07.613] [SEVERE ] removing player 1 token from slot 0
[16:07:07.613] [SEVERE ] player 3 placing token on slot 0
[16:07:07.613] [SEVERE ] removing player 3 token from slot 0
[16:07:07.613] [SEVERE ] player 2 placing token on slot 0
[16:07:07.613] [SEVERE ] removing player 2 token from slot 0
[16:07:07.614] [SEVERE ] player 3 placing token on slot 0
[16:07:07.613] [SEVERE ] removing player 4 token from slot 0
[16:07:07.614] [SEVERE ] player 1 placing token on slot 0
[16:07:07.614] [SEVERE ] removing player 3 token from slot 0
[16:07:07.617] [SEVERE ] player 1 placing token on slot 1
[16:07:07.615] [SEVERE ] placing card 63 in slot 1
[16:07:07.622] [SEVERE ] player 2 placing token on slot 1
[16:07:07.622] [SEVERE ] removing player 1 token from slot 0
[16:07:07.622] [SEVERE ] player 3 placing token on slot 0
[16:07:07.623] [SEVERE ] removing player 3 token from slot 0
[16:07:07.622] [SEVERE ] removing player 2 token from slot 1
[16:07:07.623] [SEVERE ] player 4 placing token on slot 0
[16:07:07.624] [SEVERE ] player 2 placing token on slot 1
[16:07:07.624] [SEVERE ] player 2 placing token on slot 0
[16:07:07.625] [SEVERE ] removing player 2 token from slot 1
[16:07:07.625] [SEVERE ] player 1 placing token on slot 0
[16:07:07.629] [SEVERE ] removing player 1 token from slot 1
[16:07:07.629] [SEVERE ] player 3 placing token on slot 1
[16:07:07.629] [SEVERE ] removing player 4 token from slot 0
[16:07:07.629] [SEVERE ] player 1 placing token on slot 1
[16:07:07.629] [SEVERE ] removing player 2 token from slot 0
[16:07:07.629] [SEVERE ] removing player 3 token from slot 1
[16:07:07.635] [SEVERE ] removing player 1 token from slot 1
[16:07:07.635] [SEVERE ] player 2 placing token on slot 0
[16:07:07.642] [SEVERE ] removing player 2 token from slot 0
[16:07:07.642] [SEVERE ] player 4 placing token on slot 1
[16:07:07.643] [SEVERE ] removing player 4 token from slot 1
[16:07:07.643] [SEVERE ] player 3 placing token on slot 0
[16:07:07.643] [SEVERE ] removing player 1 token from slot 0
[16:07:07.644] [SEVERE ] player 3 placing token on slot 1
[16:07:07.644] [SEVERE ] removing player 3 token from slot 0
[16:07:07.644] [SEVERE ] player 2 placing token on slot 1
[16:07:07.644] [SEVERE ] removing player 2 token from slot 1
[16:07:07.644] [SEVERE ] player 1 placing token on slot 0
[16:07:07.644] [SEVERE ] removing player 1 token from slot 0
[16:07:07.644] [SEVERE ] player 4 placing token on slot 1
[16:07:07.645] [SEVERE ] removing player 4 token from slot 1
[16:07:07.645] [SEVERE ] player 1 placing token on slot 0
[16:07:07.645] [SEVERE ] player 1 placing token on slot 1
[16:07:07.648] [SEVERE ] player 2 placing token on slot 0
[16:07:07.648] [SEVERE ] removing player 1 token from slot 0
[16:07:07.648] [SEVERE ] player 3 placing token on slot 0
[16:07:07.648] [SEVERE ] removing player 2 token from slot 0
[16:07:07.648] [SEVERE ] player 4 placing token on slot 0
[16:07:07.648] [SEVERE ] removing player 3 token from slot 1
[16:07:07.649] [SEVERE ] player 1 placing token on slot 0
[16:07:07.649] [SEVERE ] removing player 4 token from slot 0
[16:07:07.651] [SEVERE ] player 2 placing token on slot 0
[16:07:07.651] [SEVERE ] removing player 1 token from slot 1
[16:07:07.652] [SEVERE ] player 2 placing token on slot 1
[16:07:07.652] [SEVERE ] player 3 placing token on slot 1
[16:07:07.652] [SEVERE ] removing player 2 token from slot 1
[16:07:07.653] [SEVERE ] player 4 placing token on slot 0
[16:07:07.652] [SEVERE ] removing player 1 token from slot 0
[16:07:07.652] [SEVERE ] removing player 3 token from slot 1
[16:07:07.653] [SEVERE ] player 4 placing token on slot 1
[16:07:07.654] [SEVERE ] removing player 4 token from slot 1
[16:07:07.654] [SEVERE ] player 2 placing token on slot 1
[16:07:07.654] [SEVERE ] removing player 2 token from slot 1
[16:07:07.654] [SEVERE ] player 3 placing token on slot 1
[16:07:07.656] [SEVERE ] removing player 3 token from slot 1
[16:07:07.656] [SEVERE ] player 1 placing token on slot 0
[16:07:07.662] [SEVERE ] removing player 1 token from slot 0
[16:07:07.662] [SEVERE ] player 2 placing token on slot 1
[16:07:07.682] [SEVERE ] removing player 2 token from slot 0
[16:07:07.682] [SEVERE ] player 4 placing token on slot 1
[16:07:07.686] [SEVERE ] removing player 4 token from slot 1
[16:07:07.686] [SEVERE ] player 1 placing token on slot 0
[16:07:07.686] [SEVERE ] removing player 1 token from slot 0
[16:07:07.686] [SEVERE ] player 3 placing token on slot 1
[16:07:07.686] [SEVERE ] removing player 3 token from slot 1
[16:07:07.686] [SEVERE ] player 4 placing token on slot 1
[16:07:07.686] [SEVERE ] removing player 4 token from slot 0
[16:07:07.686] [SEVERE ] player 2 placing token on slot 0
[16:07:07.687] [SEVERE ] removing player 2 token from slot 0
[16:07:07.687] [SEVERE ] player 3 placing token on slot 1
[16:07:07.687] [SEVERE ] removing player 3 token from slot 0
[16:07:07.687] [SEVERE ] player 1 placing token on slot 0
[16:07:07.687] [SEVERE ] player 1 placing token on slot 1
[16:07:07.687] [SEVERE ] removing player 1 token from slot 1
[16:07:07.687] [SEVERE ] removing player 4 token from slot 1
[16:07:07.687] [SEVERE ] removing player 2 token from slot 1
[16:07:07.687] [SEVERE ] removing player 3 token from slot 1
[16:07:07.687] [SEVERE ] player 1 placing token on slot 1
[16:07:07.687] [SEVERE ] removing player 1 token from slot 0
[16:07:07.687] [SEVERE ] player 3 placing token on slot 1
[16:07:07.687] [SEVERE ] removing player 3 token from slot 1
[16:07:07.687] [SEVERE ] player 2 placing token on slot 0
[16:07:07.688] [SEVERE ] player 2 placing token on slot 1
[16:07:07.688] [SEVERE ] removing player 2 token from slot 0
[16:07:07.688] [SEVERE ] player 4 placing token on slot 0
[16:07:07.688] [SEVERE ] removing player 4 token from slot 0
[16:07:07.688] [SEVERE ] player 3 placing token on slot 0
[16:07:07.691] [SEVERE ] player 3 placing token on slot 1
[16:07:07.694] [SEVERE ] removing player 3 token from slot 1
[16:07:07.695] [SEVERE ] player 1 placing token on slot 0
[16:07:07.696] [SEVERE ] removing player 1 token from slot 1
[16:07:07.696] [SEVERE ] player 2 placing token on slot 0
[16:07:07.696] [SEVERE ] removing player 2 token from slot 1
[16:07:07.696] [SEVERE ] removing player 1 token from slot 0
[16:07:07.696] [SEVERE ] player 4 placing token on slot 0
[16:07:07.696] [SEVERE ] removing player 2 token from slot 0
[16:07:07.697] [SEVERE ] player 4 placing token on slot 1
[16:07:07.697] [SEVERE ] removing player 4 token from slot 1
[16:07:07.697] [SEVERE ] player 2 placing token on slot 1
[16:07:07.697] [SEVERE ] removing player 3 token from slot 0
[16:07:07.697] [SEVERE ] player 2 placing token on slot 0
[16:07:07.698] [SEVERE ] removing player 2 token from slot 0
[16:07:07.698] [SEVERE ] player 1 placing token on slot 0
[16:07:07.698] [SEVERE ] player 1 placing token on slot 1
[16:07:07.698] [SEVERE ] removing player 1 token from slot 1
[16:07:07.698] [SEVERE ] player 3 placing token on slot 1
[16:07:07.698] [SEVERE ] removing player 3 token from slot 1
[16:07:07.698] [SEVERE ] player 4 placing token on slot 1
[16:07:07.698] [SEVERE ] removing player 4 token from slot 1
[16:07:07.698] [SEVERE ] player 3 placing token on slot 1
[16:07:07.699] [SEVERE ] player 3 placing token on slot 0
[16:07:07.699] [SEVERE ] removing player 3 token from slot 0
[16:07:07.699] [SEVERE ] player 2 placing token on slot 0
[16:07:07.699] [SEVERE ] removing player 1 token from slot 0
[16:07:07.700] [SEVERE ] removing player 2 token from slot 0
[16:07:07.700] [SEVERE ] player 1 placing token on slot 0
[16:07:07.700] [SEVERE ] player 1 placing token on slot 1
[16:07:07.700] [SEVERE ] removing player 1 token from slot 0
[16:07:07.700] [SEVERE ] player 4 placing token on slot 1
[16:07:07.700] [SEVERE ] removing player 4 token from slot 1
[16:07:07.700] [SEVERE ] player 2 placing token on slot 0
[16:07:07.701] [SEVERE ] removing player 2 token from slot 0
[16:07:07.701] [SEVERE ] player 4 placing token on slot 1
[16:07:07.701] [SEVERE ] removing player 3 token from slot 1
[16:07:07.704] [SEVERE ] removing player 4 token from slot 1
[16:07:07.704] [SEVERE ] removing player 1 token from slot 1
[16:07:07.704] [SEVERE ] player 3 placing token on slot 1
[16:07:07.708] [SEVERE ] player 3 placing token on slot 0
[16:07:07.708] [SEVERE ] removing player 3 token from slot 0
[16:07:07.708] [SEVERE ] player 2 placing token on slot 0
[16:07:07.709] [SEVERE ] removing player 2 token from slot 0
[16:07:07.709] [SEVERE ] player 1 placing token on slot 0
[16:07:07.709] [SEVERE ] player 1 placing token on slot 1
[16:07:07.709] [SEVERE ] removing player 1 token from slot 0
[16:07:07.709] [SEVERE ] player 4 placing token on slot 1
[16:07:07.710] [SEVERE ] removing player 4 token from slot 1
[16:07:07.710] [SEVERE ] removing player 4 token from slot 0
[16:07:07.710] [SEVERE ] player 3 placing token on slot 0
[16:07:07.710] [SEVERE ] removing player 2 token from slot 1
[16:07:07.711] [SEVERE ] player 4 placing token on slot 1
[16:07:07.711] [SEVERE ] removing player 1 token from slot 1
[16:07:07.711] [SEVERE ] player 4 placing token on slot 0
[16:07:07.711] [SEVERE ] removing player 4 token from slot 0
[16:07:07.711] [SEVERE ] removing player 4 token from slot 1
[16:07:07.711] [SEVERE ] removing player 3 token from slot 0
[16:07:07.711] [SEVERE ] player 2 placing token on slot 0
[16:07:07.712] [SEVERE ] player 2 placing token on slot 1
[16:07:07.712] [SEVERE ] removing player 2 token from slot 1
[16:07:07.712] [SEVERE ] player 1 placing token on slot 1
[16:07:07.712] [SEVERE ] player 1 placing token on slot 0
[16:07:07.712] [SEVERE ] removing player 1 token from slot 0
[16:07:07.712] [SEVERE ] player 4 placing token on slot 0
[16:07:07.712] [SEVERE ] removing player 3 token from slot 1
[16:07:07.713] [SEVERE ] player 2 placing token on slot 1
[16:07:07.713] [SEVERE ] removing player 2 token from slot 0
[16:07:07.713] [SEVERE ] player 3 placing token on slot 1
[16:07:07.713] [SEVERE ] removing player 4 token from slot 0
[16:07:07.712] [SEVERE ] removing player 1 token from slot 1
[16:07:07.713] [SEVERE ] player 3 placing token on slot 0
[16:07:07.723] [SEVERE ] removing player 3 token from slot 0
[16:07:07.723] [SEVERE ] player 2 placing token on slot 0
[16:07:07.730] [SEVERE ] removing player 2 token from slot 1
[16:07:07.730] [SEVERE ] player 1 placing token on slot 0
[16:07:07.731] [SEVERE ] player 1 placing token on slot 1
[16:07:07.731] [SEVERE ] removing player 1 token from slot 0
[16:07:07.731] [SEVERE ] player 4 placing token on slot 1
[16:07:07.732] [SEVERE ] player 4 placing token on slot 0
[16:07:07.733] [SEVERE ] removing player 4 token from slot 1
[16:07:07.733] [SEVERE ] removing player 1 token from slot 1
[16:07:07.733] [SEVERE ] removing player 3 token from slot 1
[16:07:07.733] [SEVERE ] removing player 2 token from slot 0
[16:07:07.733] [SEVERE ] player 1 placing token on slot 1
[16:07:07.733] [SEVERE ] removing player 1 token from slot 1
[16:07:07.733] [SEVERE ] player 4 placing token on slot 1
[16:07:07.733] [SEVERE ] removing player 4 token from slot 1
[16:07:07.734] [SEVERE ] player 3 placing token on slot 0
[16:07:07.734] [SEVERE ] player 3 placing token on slot 1
[16:07:07.734] [SEVERE ] removing player 3 token from slot 1
[16:07:07.734] [SEVERE ] player 1 placing token on slot 0
[16:07:07.734] [SEVERE ] removing player 1 token from slot 0
[16:07:07.734] [SEVERE ] player 2 placing token on slot 0
[16:07:07.734] [SEVERE ] removing player 4 token from slot 0
[16:07:07.735] [SEVERE ] player 2 placing token on slot 1
[16:07:07.735] [SEVERE ] removing player 2 token from slot 0
[16:07:07.735] [SEVERE ] player 4 placing token on slot 1
[16:07:07.735] [SEVERE ] removing player 3 token from slot 0
[16:07:07.736] [SEVERE ] player 4 placing token on slot 0
[16:07:07.736] [SEVERE ] removing player 4 token from slot 1
[16:07:07.736] [SEVERE ] player 1 placing token on slot 0
[16:07:07.736] [SEVERE ] removing player 2 token from slot 1
[16:07:07.736] [SEVERE ] player 3 placing token on slot 1
[16:07:07.736] [SEVERE ] removing player 1 token from slot 0
[16:07:07.736] [SEVERE ] removing player 4 token from slot 0
[16:07:07.737] [SEVERE ] player 3 placing token on slot 0
[16:07:07.737] [SEVERE ] removing player 3 token from slot 0
[16:07:07.737] [SEVERE ] player 4 placing token on slot 1
[16:07:07.739] [SEVERE ] player 4 placing token on slot 0
[16:07:07.741] [SEVERE ] removing player 4 token from slot 0
[16:07:07.741] [SEVERE ] player 1 placing token on slot 1
