[16:10:36.460] [INFO   ] thread main starting.
[16:10:36.470] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:10:36.472] [SEVERE ] configuration file was loaded from resources directory.
[16:10:39.235] [INFO   ] thread dealer starting.
[16:10:39.238] [INFO   ] Thread dealer starting.
[16:10:39.238] [INFO   ] Thread player 0 starting.
[16:10:39.239] [INFO   ] Thread player 3 starting.
[16:10:39.239] [INFO   ] Thread player 2 starting.
[16:10:39.238] [INFO   ] Thread player 1 starting.
[16:10:39.246] [INFO   ] Thread computer-2 starting.
[16:10:39.245] [INFO   ] Thread computer-0 starting.
[16:10:39.245] [INFO   ] Thread computer-3 starting.
[16:10:39.248] [INFO   ] Thread computer-1 starting.
[16:10:43.958] [SEVERE ] updating countdown to 60000
[16:10:44.099] [SEVERE ] player 4 placing token on slot 0
[16:10:44.099] [SEVERE ] placing card 43 in slot 0
[16:10:44.105] [SEVERE ] player 1 placing token on slot 0
[16:10:44.105] [SEVERE ] player 3 placing token on slot 0
[16:10:44.107] [SEVERE ] removing player 3 token from slot 0
[16:10:44.107] [SEVERE ] removing player 4 token from slot 0
[16:10:44.107] [SEVERE ] removing player 1 token from slot 0
[16:10:44.107] [SEVERE ] player 2 placing token on slot 0
[16:10:44.108] [SEVERE ] player 1 placing token on slot 0
[16:10:44.108] [SEVERE ] removing player 1 token from slot 0
[16:10:44.108] [SEVERE ] player 4 placing token on slot 0
[16:10:44.109] [SEVERE ] removing player 4 token from slot 0
[16:10:44.109] [SEVERE ] removing player 2 token from slot 0
[16:10:44.109] [SEVERE ] player 1 placing token on slot 0
[16:10:44.111] [SEVERE ] removing player 1 token from slot 0
[16:10:44.111] [SEVERE ] player 3 placing token on slot 0
[16:10:44.112] [SEVERE ] removing player 3 token from slot 0
[16:10:44.112] [SEVERE ] player 2 placing token on slot 0
[16:10:44.113] [SEVERE ] removing player 2 token from slot 0
[16:10:44.113] [SEVERE ] player 4 placing token on slot 0
[16:10:44.114] [SEVERE ] player 3 placing token on slot 0
[16:10:44.115] [SEVERE ] removing player 3 token from slot 0
[16:10:44.115] [SEVERE ] player 1 placing token on slot 0
[16:10:44.115] [SEVERE ] removing player 1 token from slot 0
[16:10:44.115] [SEVERE ] player 2 placing token on slot 0
[16:10:44.116] [SEVERE ] removing player 2 token from slot 0
[16:10:44.116] [SEVERE ] player 3 placing token on slot 0
[16:10:44.116] [SEVERE ] player 2 placing token on slot 0
[16:10:44.118] [SEVERE ] removing player 3 token from slot 0
[16:10:44.118] [SEVERE ] removing player 4 token from slot 0
[16:10:44.118] [SEVERE ] removing player 2 token from slot 0
[16:10:44.119] [SEVERE ] player 1 placing token on slot 0
[16:10:44.120] [SEVERE ] removing player 1 token from slot 0
[16:10:44.121] [SEVERE ] player 2 placing token on slot 0
[16:10:44.121] [SEVERE ] removing player 2 token from slot 0
[16:10:44.121] [SEVERE ] player 4 placing token on slot 0
[16:10:44.122] [SEVERE ] removing player 4 token from slot 0
[16:10:44.122] [SEVERE ] player 3 placing token on slot 0
[16:10:44.122] [SEVERE ] removing player 3 token from slot 0
[16:10:44.123] [SEVERE ] player 2 placing token on slot 0
[16:10:44.123] [SEVERE ] removing player 2 token from slot 0
[16:10:44.123] [SEVERE ] player 1 placing token on slot 0
[16:10:44.124] [SEVERE ] removing player 1 token from slot 0
[16:10:44.124] [SEVERE ] player 3 placing token on slot 0
[16:10:44.125] [SEVERE ] player 4 placing token on slot 0
[16:10:44.130] [SEVERE ] removing player 3 token from slot 0
[16:10:44.130] [SEVERE ] player 1 placing token on slot 0
[16:10:44.133] [SEVERE ] player 2 placing token on slot 0
[16:10:44.133] [SEVERE ] removing player 1 token from slot 0
[16:10:44.134] [SEVERE ] player 3 placing token on slot 0
[16:10:44.134] [SEVERE ] removing player 2 token from slot 0
[16:10:44.137] [SEVERE ] player 1 placing token on slot 0
[16:10:44.137] [SEVERE ] removing player 4 token from slot 0
[16:10:44.137] [SEVERE ] removing player 3 token from slot 0
[16:10:44.137] [SEVERE ] player 2 placing token on slot 0
[16:10:44.137] [SEVERE ] removing player 1 token from slot 0
[16:10:44.138] [SEVERE ] player 3 placing token on slot 0
[16:10:44.139] [SEVERE ] player 4 placing token on slot 0
[16:10:44.139] [SEVERE ] removing player 4 token from slot 0
[16:10:44.139] [SEVERE ] player 1 placing token on slot 0
[16:10:44.139] [SEVERE ] removing player 1 token from slot 0
[16:10:44.139] [SEVERE ] player 4 placing token on slot 0
[16:10:44.139] [SEVERE ] removing player 2 token from slot 0
[16:10:44.140] [SEVERE ] removing player 3 token from slot 0
[16:10:44.140] [SEVERE ] player 1 placing token on slot 0
[16:10:44.140] [SEVERE ] removing player 4 token from slot 0
[16:10:44.141] [SEVERE ] player 3 placing token on slot 0
[16:10:44.141] [SEVERE ] removing player 1 token from slot 0
[16:10:44.144] [SEVERE ] player 2 placing token on slot 0
[16:10:44.143] [SEVERE ] removing player 3 token from slot 0
[16:10:44.149] [SEVERE ] player 1 placing token on slot 0
[16:10:44.148] [SEVERE ] removing player 2 token from slot 0
[16:10:44.150] [SEVERE ] player 3 placing token on slot 0
[16:10:44.150] [SEVERE ] removing player 1 token from slot 0
[16:10:44.152] [SEVERE ] player 4 placing token on slot 0
[16:10:44.152] [SEVERE ] removing player 3 token from slot 0
[16:10:44.167] [SEVERE ] player 1 placing token on slot 0
[16:10:44.167] [SEVERE ] removing player 1 token from slot 0
[16:10:44.168] [SEVERE ] player 2 placing token on slot 0
[16:10:44.168] [SEVERE ] removing player 2 token from slot 0
[16:10:44.168] [SEVERE ] player 3 placing token on slot 0
[16:10:44.168] [SEVERE ] removing player 3 token from slot 0
[16:10:44.168] [SEVERE ] player 2 placing token on slot 0
[16:10:44.168] [SEVERE ] removing player 4 token from slot 0
[16:10:44.170] [SEVERE ] player 3 placing token on slot 0
[16:10:44.170] [SEVERE ] removing player 2 token from slot 0
[16:10:44.175] [SEVERE ] player 1 placing token on slot 0
[16:10:44.175] [SEVERE ] removing player 3 token from slot 0
