[16:07:29.978] [INFO   ] thread main starting.
[16:07:29.988] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:07:29.990] [SEVERE ] configuration file was loaded from resources directory.
[16:07:31.559] [INFO   ] thread dealer starting.
[16:07:31.562] [INFO   ] Thread dealer starting.
[16:07:31.563] [INFO   ] Thread player 0 starting.
[16:07:31.563] [INFO   ] Thread player 3 starting.
[16:07:31.563] [INFO   ] Thread player 2 starting.
[16:07:31.563] [INFO   ] Thread player 1 starting.
[16:07:31.570] [INFO   ] Thread computer-0 starting.
[16:07:31.570] [INFO   ] Thread computer-3 starting.
[16:07:31.570] [INFO   ] Thread computer-2 starting.
[16:07:31.573] [INFO   ] Thread computer-1 starting.
[16:07:53.961] [SEVERE ] updating countdown to 37602
[16:07:54.110] [SEVERE ] placing card 14 in slot 0
[16:07:54.110] [SEVERE ] player 2 placing token on slot 0
[16:07:54.113] [SEVERE ] player 4 placing token on slot 0
[16:07:54.113] [SEVERE ] removing player 2 token from slot 0
[16:07:54.114] [SEVERE ] removing player 4 token from slot 0
[16:07:54.114] [SEVERE ] player 3 placing token on slot 0
[16:07:54.115] [SEVERE ] removing player 3 token from slot 0
[16:07:54.115] [SEVERE ] player 4 placing token on slot 0
[16:07:54.118] [SEVERE ] removing player 4 token from slot 0
[16:07:54.120] [SEVERE ] player 2 placing token on slot 0
[16:07:54.123] [SEVERE ] player 4 placing token on slot 0
[16:07:54.123] [SEVERE ] removing player 4 token from slot 0
[16:07:54.123] [SEVERE ] player 3 placing token on slot 0
[16:07:54.129] [SEVERE ] player 1 placing token on slot 0
[16:07:54.129] [SEVERE ] removing player 1 token from slot 0
[16:07:54.129] [SEVERE ] player 4 placing token on slot 0
[16:07:54.130] [SEVERE ] removing player 4 token from slot 0
[16:07:54.130] [SEVERE ] player 1 placing token on slot 0
[16:07:54.130] [SEVERE ] removing player 2 token from slot 0
[16:07:54.130] [SEVERE ] removing player 1 token from slot 0
[16:07:54.131] [SEVERE ] player 4 placing token on slot 0
[16:07:54.131] [SEVERE ] removing player 3 token from slot 0
[16:07:54.133] [SEVERE ] removing player 4 token from slot 0
[16:07:54.133] [SEVERE ] player 3 placing token on slot 0
[16:07:54.138] [SEVERE ] removing player 3 token from slot 0
[16:07:54.138] [SEVERE ] player 1 placing token on slot 0
[16:07:54.138] [SEVERE ] removing player 1 token from slot 0
[16:07:54.138] [SEVERE ] player 3 placing token on slot 0
[16:07:54.139] [SEVERE ] removing player 3 token from slot 0
[16:07:54.139] [SEVERE ] player 4 placing token on slot 0
[16:07:54.139] [SEVERE ] removing player 4 token from slot 0
[16:07:54.139] [SEVERE ] player 1 placing token on slot 0
[16:07:54.142] [SEVERE ] removing player 1 token from slot 0
[16:07:54.142] [SEVERE ] player 2 placing token on slot 0
[16:07:54.143] [SEVERE ] removing player 2 token from slot 0
[16:07:54.143] [SEVERE ] player 4 placing token on slot 0
[16:07:54.144] [SEVERE ] removing player 4 token from slot 0
[16:07:54.144] [SEVERE ] player 3 placing token on slot 0
[16:07:54.145] [SEVERE ] removing player 3 token from slot 0
[16:07:54.145] [SEVERE ] player 2 placing token on slot 0
[16:07:54.145] [SEVERE ] removing player 2 token from slot 0
[16:07:54.145] [SEVERE ] player 1 placing token on slot 0
[16:07:54.145] [SEVERE ] removing player 1 token from slot 0
[16:07:54.146] [SEVERE ] player 3 placing token on slot 0
[16:07:54.146] [SEVERE ] removing player 3 token from slot 0
[16:07:54.146] [SEVERE ] player 4 placing token on slot 0
[16:07:54.146] [SEVERE ] removing player 4 token from slot 0
[16:07:54.146] [SEVERE ] player 1 placing token on slot 0
[16:07:54.147] [SEVERE ] player 2 placing token on slot 0
[16:07:54.147] [SEVERE ] player 4 placing token on slot 0
[16:07:54.147] [SEVERE ] removing player 4 token from slot 0
[16:07:54.147] [SEVERE ] player 3 placing token on slot 0
[16:07:54.148] [SEVERE ] removing player 3 token from slot 0
[16:07:54.148] [SEVERE ] player 4 placing token on slot 0
[16:07:54.148] [SEVERE ] removing player 1 token from slot 0
[16:07:54.148] [SEVERE ] removing player 2 token from slot 0
[16:07:54.148] [SEVERE ] player 3 placing token on slot 0
[16:07:54.148] [SEVERE ] removing player 4 token from slot 0
[16:07:54.149] [SEVERE ] player 1 placing token on slot 0
[16:07:54.149] [SEVERE ] removing player 3 token from slot 0
[16:07:54.149] [SEVERE ] player 4 placing token on slot 0
[16:07:54.149] [SEVERE ] removing player 1 token from slot 0
[16:07:54.150] [SEVERE ] player 2 placing token on slot 0
[16:07:54.150] [SEVERE ] removing player 4 token from slot 0
[16:07:54.151] [SEVERE ] removing player 2 token from slot 0
