[16:20:10.057] [INFO   ] thread main starting.
[16:20:10.066] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:20:10.068] [SEVERE ] configuration file was loaded from resources directory.
[16:20:12.613] [INFO   ] thread dealer starting.
[16:20:12.616] [INFO   ] Thread dealer starting.
[16:20:12.619] [INFO   ] Thread player 0 starting.
[16:20:12.620] [INFO   ] Thread player 3 starting.
[16:20:12.619] [INFO   ] Thread player 2 starting.
[16:20:12.619] [INFO   ] Thread player 1 starting.
[16:20:12.624] [INFO   ] Thread computer-2 starting.
[16:20:12.624] [INFO   ] Thread computer-3 starting.
[16:20:12.623] [INFO   ] Thread computer-0 starting.
[16:20:12.626] [INFO   ] Thread computer-1 starting.
[16:20:12.835] [SEVERE ] placing card 4 in slot 0
[16:20:12.835] [SEVERE ] player 4 placing token on slot 0
[16:20:12.840] [SEVERE ] player 1 placing token on slot 0
[16:20:12.842] [SEVERE ] player 2 placing token on slot 0
[16:20:12.843] [SEVERE ] player 3 placing token on slot 0
[16:20:12.843] [SEVERE ] removing player 2 token from slot 0
[16:20:12.844] [SEVERE ] removing player 4 token from slot 0
[16:20:12.844] [SEVERE ] removing player 1 token from slot 0
[16:20:12.844] [SEVERE ] removing player 3 token from slot 0
[16:20:12.844] [SEVERE ] player 2 placing token on slot 0
[16:20:12.848] [SEVERE ] player 3 placing token on slot 0
[16:20:12.849] [SEVERE ] player 1 placing token on slot 0
[16:20:12.849] [SEVERE ] removing player 1 token from slot 0
[16:20:12.849] [SEVERE ] player 4 placing token on slot 0
[16:20:12.859] [SEVERE ] removing player 3 token from slot 0
[16:20:12.859] [SEVERE ] player 1 placing token on slot 0
[16:20:12.859] [SEVERE ] removing player 4 token from slot 0
[16:20:12.860] [SEVERE ] removing player 1 token from slot 0
[16:20:12.860] [SEVERE ] player 4 placing token on slot 0
[16:20:12.864] [SEVERE ] removing player 4 token from slot 0
[16:20:12.864] [SEVERE ] player 1 placing token on slot 0
[16:20:12.864] [SEVERE ] removing player 2 token from slot 0
[16:20:12.865] [SEVERE ] removing player 1 token from slot 0
[16:20:12.865] [SEVERE ] player 3 placing token on slot 0
[16:20:12.865] [SEVERE ] player 4 placing token on slot 0
[16:20:12.865] [SEVERE ] removing player 4 token from slot 0
[16:20:12.865] [SEVERE ] player 1 placing token on slot 0
[16:20:12.868] [SEVERE ] removing player 1 token from slot 0
